Site_ID,Site,Cluster_3,SEIS_SCR,FWI_SCR,FLOOD_SCR,RUSLE_SCR,ELSUS_SCR,ASSET_SCR,Rusle_MTH,ELSUS_MTH,Material_general,WLC_RISK2
SITE_0194,Kaloyanovo Mound III,1,3,3,1,5,5,7,Direct,Direct,Earthwork (earthen burial mound),4.041369
SITE_0195,Kaloyanovo Tumulus,1,3,3,1,5,5,7,Direct,Direct,Earthwork (earthen burial mound),4.041369
SITE_0196,Kamen mogila,1,3,7,1,3,7,7,Direct,Direct,Earthwork (earthen burial mound),5.288395
SITE_0197,Kota 255,1,3,5,1,5,9,1,Direct,Direct,Mortared stone masonry,4.106672
SITE_0198,Prehistoric Wide Mound,1,3,5,1,5,5,9,Direct,Direct,Earthwork / earthen architecture,4.968411
SITE_0199,Roman Karanovo mound,1,3,5,1,3,5,7,Direct,Direct,Earthwork (earthen burial mound),4.452893
SITE_0200,Tell Karanovo,1,3,5,1,,1,9,Urban excl.,Direct,Earthwork / earthen architecture,4.421904
SITE_0201,Boz Bair,1,3,7,1,1,3,7,Direct,Direct,Earthwork / early stone construction,4.616627
SITE_0202,Boz Bair mound I,1,3,7,1,5,3,7,Direct,Direct,Earthwork (earthen burial mound),4.969003
SITE_0203,Boz Bair mound II,1,3,7,1,5,5,7,Direct,Direct,Earthwork (earthen burial mound),5.216793
SITE_0204,Tuida Fortress,1,3,1,1,7,7,1,Direct,Direct,Mortared stone masonry,2.859646
SITE_0205,Sokol Himitliyata,1,3,5,1,1,1,7,Direct,Direct,Earthwork (earthen burial mound),3.781125
SITE_0206,Staro Selo Mogila,1,3,7,1,7,5,7,Direct,Direct,Earthwork (earthen burial mound),5.392981
SITE_0207,Tvarditsa Fortress,3,3,1,1,3,9,1,Direct,Direct,Mortared stone masonry,5.345107
SITE_0208,Gela Basilica,2,7,1,1,3,9,3,Direct,Direct,Mortared mixed masonry (stone + brick),6.252736
SITE_0209,Gradishte Fortress,2,5,1,1,5,9,1,Direct,Direct,Mortared stone masonry,5.629054
SITE_0210,Momchilova Fortress,2,5,1,1,5,7,1,Direct,Direct,Mortared stone masonry,4.777136
SITE_0211,Kaleto Fortress Koshnitsa,2,5,1,1,1,7,1,Direct,Direct,Mortared stone masonry,4.625798
SITE_0212,Uleya Cave,3,5,1,1,5,5,5,Direct,Direct,Rock-cut / bedrock construction,4.415955
SITE_0213,St. Ilia Fortress,2,5,1,1,5,7,1,Direct,Direct,Mortared stone masonry,4.777136
SITE_0214,Yagodinska Cave,3,5,1,1,1,5,5,Direct,Direct,Rock-cut / bedrock construction,3.984587
SITE_0215,Tyovnata dupka,2,7,1,1,5,7,5,Direct,Direct,Rock-cut / bedrock construction,5.640816
SITE_0216,Bratya Daskalovi mound,1,9,3,1,,3,7,Urban excl.,Direct,Earthwork (earthen burial mound),5.610496
SITE_0217,Momina Mogila,1,9,3,1,5,5,7,Direct,Direct,Earthwork (earthen burial mound),5.804505
SITE_0218,Buzovo Kale,2,3,1,3,1,7,1,Direct,Direct,Mortared stone masonry,4.166445
SITE_0219,Thracian domed tomb,1,3,1,5,5,7,7,Direct,Direct,Earthwork (earthen burial mound),3.823984
SITE_0220,Pizus Fortress,1,9,5,1,3,1,1,Direct,Direct,Mortared stone masonry,4.702459
SITE_0221,Tomb of Kazanlak,2,3,1,1,1,5,7,Direct,Direct,Earthwork (earthen burial mound),3.731845
SITE_0222,Kran Fortress,3,3,1,1,5,7,1,Direct,Direct,Mortared stone masonry,4.638659
SITE_0223,Kesteleva Mogila,1,3,1,1,1,5,7,Direct,Direct,Earthwork (earthen burial mound),3.101281
SITE_0224,Malak Dol mound,1,9,3,1,3,3,7,Direct,Direct,Earthwork (earthen burial mound),5.380527
SITE_0225,Karasura,1,9,5,1,1,1,1,Direct,Direct,Mortared stone masonry,4.526272
SITE_0226,Tomb of Sashnova,1,3,1,1,5,1,7,Direct,Direct,Earthwork (earthen burial mound),2.958077
SITE_0227,Golyama Arsenalka tomb,1,3,1,1,1,1,7,Direct,Direct,Earthwork (earthen burial mound),2.605701
